germline_4tuple,n
TRAV1-2*01|TRAJ33*01|TRBV6-1*01|TRBJ2-2*01,39
TRAV11*02|TRAJ18*01|TRBV13-2*01|TRBJ2-5*01,26
TRAV9-4*01|TRAJ35*02|TRBV13-2*01|TRBJ2-4*01,22
TRAV12-3*01|TRAJ12*01|TRBV12-4*01|TRBJ2-4*01,20
TRAV9D-3*01|TRAJ58*01|TRBV13-1*02|TRBJ2-2*01,15
TRAV12-2*01|TRAJ24*02|TRBV6-5*01|TRBJ2-7*01,14
TRAV8-4*01|TRAJ30*01|TRBV24-1*01|TRBJ1-2*01,13
TRAV27*01|TRAJ42*01|TRBV19*01|TRBJ2-7*01,13
TRAV10*01|TRAJ18*01|TRBV25-1*01|TRBJ2-7*01,12
TRAV21*01|TRAJ6*01|TRBV6-5*01|TRBJ2-2*01,10
TRAV8-4*01|TRAJ48*01|TRBV28*01|TRBJ1-2*01,8
TRAV12-2*02|TRAJ50*01|TRBV13-3*01|TRBJ2-7*01,8
TRAV4D-4*03|TRAJ34*02|TRBV26*01|TRBJ1-2*01,8
TRAV12-1*01|TRAJ23*01|TRBV6-2*01|TRBJ2-4*01,8
TRAV35*01|TRAJ53*01|TRBV9*01|TRBJ1-4*01,8
TRAV12-2*01|TRAJ41*01|TRBV5-6*01|TRBJ2-7*01,8
TRAV24*01|TRAJ17*01|TRBV2*01|TRBJ2-1*01,7
TRAV19*01|TRAJ34*01|TRBV6-1*01|TRBJ2-7*01,7
TRAV14-1*01|TRAJ48*01|TRBV13-3*01|TRBJ2-4*01,7
TRAV7-4*02|TRAJ26*01|TRBV3*01|TRBJ2-1*01,7
TRAV22*01|TRAJ54*01|TRBV6-6*01|TRBJ1-3*01,7
TRAV12-2*01|TRAJ27*01|TRBV30*02|TRBJ2-2*01,6
TRAV1-2*01|TRAJ33*01|TRBV6-4*01|TRBJ2-2*01,6
TRAV11*02|TRAJ18*01|TRBV19*01|TRBJ1-1*01,6
TRAV12-2*01|TRAJ23*01|TRBV27*01|TRBJ2-7*01,5
TRAV21*01|TRAJ21*01|TRBV5-1*01|TRBJ1-6*01,5
TRAV26-1*02|TRAJ13*02|TRBV7-9*01|TRBJ2-1*01,5
TRAV12-3*01|TRAJ27*01|TRBV6-2*01|TRBJ1-1*01,5
TRAV26-2*01|TRAJ52*01|TRBV7-8*01|TRBJ2-7*01,5
TRAV20*01|TRAJ18*01|TRBV9*01|TRBJ2-2*01,5
TRAV12-2*01|TRAJ23*01|TRBV6-4*01|TRBJ1-1*01,5
TRAV14D-1*01|TRAJ15*01|TRBV17*01|TRBJ2-5*01,4
TRAV21*01|TRAJ12*01|TRBV7-9*01|TRBJ2-2*01,4
TRAV35*01|TRAJ37*01|TRBV27*01|TRBJ2-2*01,4
TRAV21/DV12*01|TRAJ53*01|TRBV29*01|TRBJ2-7*01,4
TRAV9-2*01|TRAJ12*01|TRBV5-1*01|TRBJ1-1*01,4
TRAV14-3*05|TRAJ38*01|TRBV29*01|TRBJ1-1*01,4
TRAV1-2*01|TRAJ33*01|TRBV6-1*01|TRBJ2-3*01,4
TRAV1-2*01|TRAJ6*01|TRBV10-3*01|TRBJ1-5*01,4
TRAV30*05|TRAJ39*01|TRBV11-2*01|TRBJ1-2*01,4
TRAV1-2*01|TRAJ33*01|TRBV6-1*01|TRBJ1-3*01,4
TRAV4-4/DV10*02|TRAJ56*01|TRBV26*01|TRBJ2-5*01,3
TRAV26-2*01|TRAJ32*01|TRBV20-1*01|TRBJ1-6*01,3
TRAV14D-1*01|TRAJ15*01|TRBV1*01|TRBJ2-3*01,3
TRAV9-2*01|TRAJ43*01|TRBV11-2*01|TRBJ1-5*01,3
TRAV14D-2*01|TRAJ4*02|TRBV13-2*01|TRBJ2-1*01,3
TRAV6-3*01|TRAJ13*01|TRBV13-2*01|TRBJ2-4*01,3
TRAV12-2*01|TRAJ24*02|TRBV28*01|TRBJ2-7*01,3
TRAV14-3*04|TRAJ45*01|TRBV13-2*01|TRBJ2-4*01,3
TRAV13-1*01|TRAJ48*01|TRBV7-3*01|TRBJ2-3*01,3
